Country, Year, PayGap
Portugal,2014,14.9
Portugal,2015,16.0
Portugal,2016,13.9
Portugal,2017,10.8
Portugal,2018,8.9
Portugal,2019,9.4
Portugal,2020,8.3
Portugal,2021,7.1
Portugal,2022,6.3
Portugal,2023,8.6
Romania,2014,4.5
Romania,2015,5.6
Romania,2016,4.8
Romania,2017,2.9
Romania,2018,2.2
Romania,2019,2.6
Romania,2020,0.9
Romania,2021,1.4
Romania,2022,1.5
Romania,2023,3.8
Serbia,2014,8.7
Serbia,2018,9.6
Sweden,2014,13.8
Sweden,2015,14.0
Sweden,2016,13.3
Sweden,2017,12.5
Sweden,2018,12.1
Sweden,2019,11.1
Sweden,2020,10.5
Sweden,2021,10.3
Sweden,2022,10.4
Sweden,2023,11.2
Slovenia,2014,7.0
Slovenia,2015,8.2
Slovenia,2016,8.1
Slovenia,2017,8.4
Slovenia,2018,9.3
Slovenia,2019,7.5
Slovenia,2020,2.4
Slovenia,2021,2.7
Slovenia,2022,6.8
Slovenia,2023,5.4
Slovakia,2014,19.7
Slovakia,2015,19.7
Slovakia,2016,19.2
Slovakia,2017,20.1
Slovakia,2018,19.8
Slovakia,2019,18.2
Slovakia,2020,15.4
Slovakia,2021,16.0
Slovakia,2022,16.8
Slovakia,2023,15.7
Türkiye,2014,-1.3
United Kingdom,2014,20.9
United Kingdom,2015,21.0
United Kingdom,2016,20.7
United Kingdom,2017,20.8
United Kingdom,2018,19.8
