city_id,city_name,region_no,dep_no,total_se_co,public_edu_health_social,other,technology,manufacturing,consumer,finance_re,construction_industry,eu_election_circle_fr,people_no,avg_pay_gap,executive_pay_gap,manager_pay_gap,worker_pay_gap,employee_pay_gap,executive_pay_gap_label,manager_pay_gap_label,worker_pay_gap_label,employee_pay_gap_label,technology_pct,consumer_pct,finance_re_pct,construction_industry_pct,public_edu_health_social_pct,manufacturing_pct,technology_pct_label,consumer_pct_label,public_edu_health_social_pct_label,finance_re_pct_label,construction_industry_pct_label,manufacturing_pct_label
01143,Divonne-les-Bains,82,01,534,94,49,78,11,165,78,48,Sud-Est,8924,29.6875,28.398058252427187,16.233766233766232,33.97435897435897,1.8348623853211108,high pay gap,medium pay gap,high pay gap,low pay gap,16.455696202531644,34.810126582278485,16.455696202531644,10.126582278481013,19.831223628691983,2.320675105485232,medium proportion,medium proportion,high proportion,high proportion,low proportion,low proportion
01157,Fareins,82,01,167,23,15,28,18,45,13,24,Sud-Est,2089,23.668639053254427,25.092250922509223,5.6962025316455716,17.886178861788625,9.166666666666663,high pay gap,low pay gap,high pay gap,medium pay gap,18.543046357615893,29.80132450331126,8.609271523178808,15.894039735099339,15.2317880794702,11.920529801324504,medium proportion,medium proportion,medium proportion,medium proportion,medium proportion,high proportion
01159,Feillens,82,01,220,23,15,32,14,68,30,31,Sud-Est,3208,15.909090909090907,14.644351464435148,12.080536912751683,14.678899082568803,9.734513274336296,medium pay gap,medium pay gap,medium pay gap,medium pay gap,16.161616161616163,34.34343434343434,15.151515151515152,15.656565656565657,11.616161616161616,7.07070707070707,medium proportion,medium proportion,low proportion,high proportion,medium proportion,high proportion
01160,Ferney-Voltaire,82,01,665,136,48,134,8,192,105,30,Sud-Est,9210,10.370370370370372,12.544802867383515,15.723270440251572,14.814814814814827,-0.952380952380949,medium pay gap,medium pay gap,medium pay gap,negative pay gap,22.14876033057851,31.735537190082646,17.355371900826448,4.958677685950414,22.479338842975206,1.322314049586777,high proportion,medium proportion,high proportion,high proportion,low proportion,low proportion
01173,Gex,82,01,494,59,55,102,9,132,50,80,Sud-Est,10552,14.705882352941178,24.521072796934874,11.034482758620687,15.254237288135597,4.672897196261683,high pay gap,medium pay gap,medium pay gap,low pay gap,23.61111111111111,30.555555555555557,11.574074074074074,18.51851851851852,13.657407407407407,2.083333333333333,high proportion,medium proportion,low proportion,high proportion,medium proportion,low proportion
01185,Hauteville-Lompnes,82,01,238,60,24,22,6,71,19,31,Sud-Est,3108,12.59842519685039,7.773851590106004,7.575757575757576,14.814814814814827,6.66666666666666,low pay gap,low pay gap,medium pay gap,low pay gap,10.526315789473683,33.97129186602871,9.090909090909092,14.832535885167463,28.708133971291865,2.8708133971291865,low proportion,medium proportion,high proportion,medium proportion,medium proportion,low proportion
01192,Izernore,82,01,156,10,7,21,41,29,21,21,Sud-Est,2232,24.999999999999996,33.08270676691729,14.09395973154362,20.000000000000007,12.068965517241383,high pay gap,medium pay gap,high pay gap,medium pay gap,14.685314685314685,20.27972027972028,14.685314685314685,14.685314685314685,6.993006993006993,28.671328671328673,medium proportion,low proportion,low proportion,high proportion,medium proportion,high proportion
01194,Jassans-Riottier,82,01,330,66,23,40,24,84,30,54,Sud-Est,6104,22.222222222222225,25.190839694656482,14.375000000000004,16.666666666666668,6.249999999999994,high pay gap,medium pay gap,medium pay gap,low pay gap,13.422818791946309,28.187919463087248,10.06711409395973,18.120805369127517,22.14765100671141,8.053691275167784,low proportion,low proportion,high proportion,medium proportion,medium proportion,high proportion
01199,Jujurieux,82,01,110,15,11,19,12,27,5,18,Sud-Est,2137,15.441176470588234,13.215859030837004,14.788732394366194,16.666666666666668,16.129032258064516,medium pay gap,medium pay gap,medium pay gap,medium pay gap,19.791666666666664,28.125,5.208333333333334,18.75,15.625,12.5,high proportion,low proportion,medium proportion,low proportion,medium proportion,high proportion
01202,Lagnieu,82,01,394,65,43,62,15,113,24,61,Sud-Est,6816,23.684210526315788,20.62256809338522,20.833333333333332,15.126050420168072,11.965811965811953,high pay gap,high pay gap,medium pay gap,medium pay gap,18.235294117647058,33.23529411764706,7.0588235294117645,17.941176470588236,19.11764705882353,4.411764705882353,medium proportion,medium proportion,high proportion,low proportion,medium proportion,medium proportion
01224,Loyettes,82,01,170,12,11,24,9,50,10,46,Sud-Est,3125,20.408163265306122,24.799999999999997,14.649681528662414,12.068965517241383,19.847328244274806,high pay gap,medium pay gap,medium pay gap,high pay gap,15.894039735099339,33.11258278145696,6.622516556291391,30.4635761589404,7.9470198675496695,5.960264900662252,medium proportion,medium proportion,low proportion,low proportion,high proportion,medium proportion
01232,Marboz,82,01,130,19,14,14,11,39,5,25,Sud-Est,2069,18.115942028985508,21.544715447154474,10.204081632653061,28.828828828828822,13.675213675213675,high pay gap,medium pay gap,high pay gap,medium pay gap,12.389380530973451,34.51327433628318,4.424778761061947,22.123893805309734,16.8141592920354,9.734513274336283,low proportion,medium proportion,medium proportion,low proportion,high proportion,high proportion
01238,Massieux,82,01,138,16,6,19,5,51,7,29,Sud-Est,2433,22.40437158469946,23.59550561797753,17.553191489361705,13.008130081300823,13.740458015267167,high pay gap,high pay gap,medium pay gap,medium pay gap,14.960629921259844,40.15748031496063,5.511811023622047,22.83464566929134,12.598425196850393,3.937007874015748,medium proportion,high proportion,low proportion,low proportion,high proportion,low proportion
01244,Meximieux,82,01,516,81,51,93,16,165,42,58,Sud-Est,7264,23.97660818713451,12.878787878787874,24.02234636871508,14.655172413793096,17.187500000000007,medium pay gap,high pay gap,medium pay gap,high pay gap,20.439560439560438,36.26373626373626,9.230769230769232,12.747252747252746,17.802197802197803,3.5164835164835164,high proportion,medium proportion,high proportion,medium proportion,low proportion,low proportion
01246,Mézériat,82,01,133,17,8,15,10,43,11,28,Sud-Est,2150,15.037593984962406,28.06324110671937,15.277777777777784,13.636363636363635,12.820512820512823,high pay gap,medium pay gap,medium pay gap,medium pay gap,12.096774193548388,34.67741935483871,8.870967741935484,22.58064516129032,13.709677419354838,8.064516129032258,low proportion,medium proportion,low proportion,medium proportion,high proportion,high proportion
01248,Mionnay,82,01,138,18,9,22,9,35,13,29,Sud-Est,2027,24.30939226519338,26.714801444043317,10.55900621118013,9.565217391304346,16.058394160583937,high pay gap,medium pay gap,medium pay gap,medium pay gap,17.46031746031746,27.77777777777778,10.317460317460316,23.015873015873016,14.285714285714285,7.142857142857142,medium proportion,low proportion,medium proportion,medium proportion,high proportion,high proportion
01249,Miribel,82,01,690,91,43,122,79,189,69,82,Sud-Est,8912,17.791411042944787,14.785992217898835,10.322580645161288,9.401709401709399,8.547008547008547,medium pay gap,medium pay gap,medium pay gap,low pay gap,19.303797468354432,29.90506329113924,10.917721518987342,12.974683544303797,14.39873417721519,12.5,high proportion,medium proportion,medium proportion,high proportion,low proportion,high proportion
01262,Montluel,82,01,395,71,34,66,15,109,30,55,Sud-Est,6811,18.300653594771248,20.6896551724138,12.418300653594773,13.79310344827586,15.07936507936508,high pay gap,medium pay gap,medium pay gap,medium pay gap,19.07514450867052,31.502890173410403,8.670520231213873,15.895953757225435,20.520231213872833,4.335260115606936,high proportion,medium proportion,high proportion,medium proportion,medium proportion,medium proportion
01263,Montmerle-sur-Saône,82,01,213,29,16,33,20,55,23,32,Sud-Est,3740,22.839506172839503,24.7191011235955,11.538461538461533,16.666666666666664,19.402985074626862,high pay gap,medium pay gap,medium pay gap,high pay gap,17.1875,28.645833333333332,11.979166666666668,16.666666666666664,15.104166666666666,10.416666666666668,medium proportion,low proportion,medium proportion,high proportion,medium proportion,high proportion
01265,Montréal-la-Cluse,82,01,257,29,17,32,33,74,29,30,Sud-Est,3405,19.402985074626862,25.000000000000007,18.42105263157894,17.391304347826086,9.401709401709399,high pay gap,high pay gap,high pay gap,medium pay gap,14.096916299559473,32.59911894273127,12.77533039647577,13.215859030837004,12.77533039647577,14.537444933920703,low proportion,medium proportion,low proportion,high proportion,low proportion,high proportion
01266,Montrevel-en-Bresse,82,01,185,47,16,13,9,53,16,27,Sud-Est,2296,14.843750000000004,7.476635514018683,12.582781456953645,17.543859649122805,8.333333333333336,low pay gap,medium pay gap,high pay gap,low pay gap,7.878787878787878,32.121212121212125,9.696969696969697,16.363636363636363,28.484848484848484,5.454545454545454,low proportion,medium proportion,high proportion,medium proportion,medium proportion,medium proportion
01269,Nantua,82,01,231,31,24,33,18,73,23,24,Sud-Est,3301,14.173228346456684,14.285714285714285,11.510791366906473,11.320754716981126,7.476635514018683,medium pay gap,medium pay gap,medium pay gap,low pay gap,16.33663366336634,36.13861386138614,11.386138613861387,11.881188118811881,15.346534653465346,8.91089108910891,medium proportion,medium proportion,medium proportion,high proportion,low proportion,high proportion
01275,Neyron,82,01,240,21,10,72,20,50,35,30,Sud-Est,2400,22.61306532663316,22.257053291536046,16.265060240963862,-8.730158730158728,12.50000000000001,high pay gap,medium pay gap,negative pay gap,medium pay gap,31.57894736842105,21.929824561403507,15.350877192982457,13.157894736842104,9.210526315789473,8.771929824561402,high proportion,low proportion,low proportion,high proportion,low proportion,high proportion
01281,Ornex,82,01,147,22,17,35,3,36,15,15,Sud-Est,4206,9.28571428571429,4.230769230769236,21.17647058823529,23.01587301587302,-1.8518518518518452,low pay gap,high pay gap,high pay gap,negative pay gap,27.77777777777778,28.57142857142857,11.904761904761903,11.904761904761903,17.46031746031746,2.380952380952381,high proportion,low proportion,medium proportion,high proportion,low proportion,low proportion
01283,Oyonnax,82,01,1516,167,105,261,226,468,148,117,Sud-Est,22115,17.6923076923077,23.282442748091594,18.300653594771248,12.264150943396217,1.886792452830182,high pay gap,high pay gap,medium pay gap,low pay gap,18.817591925018025,33.741888968997834,10.670511896178802,8.435472242249459,12.040374909877432,16.294160057678443,medium proportion,medium proportion,low proportion,medium proportion,low proportion,high proportion
01288,Péron,82,01,80,6,9,17,4,25,2,17,Sud-Est,2419,21.621621621621628,16.334661354581677,17.53246753246754,21.311475409836063,0.0,medium pay gap,high pay gap,high pay gap,low pay gap,23.943661971830984,35.2112676056338,2.8169014084507045,23.943661971830984,8.450704225352112,5.633802816901409,high proportion,medium proportion,low proportion,low proportion,high proportion,medium proportion
01289,Péronnas,82,01,420,49,33,58,27,123,45,73,Sud-Est,5762,15.277777777777784,6.694560669456058,15.48387096774194,16.521739130434785,8.695652173913043,low pay gap,medium pay gap,medium pay gap,low pay gap,15.466666666666667,32.800000000000004,12.0,19.466666666666665,13.066666666666665,7.199999999999999,medium proportion,medium proportion,low proportion,high proportion,medium proportion,high proportion
01301,Polliat,82,01,123,15,10,16,10,32,12,22,Sud-Est,2450,18.309859154929576,31.178707224334595,6.206896551724141,16.379310344827587,15.126050420168072,high pay gap,low pay gap,medium pay gap,medium pay gap,14.953271028037381,29.906542056074763,11.214953271028037,20.5607476635514,14.018691588785046,9.345794392523365,medium proportion,medium proportion,medium proportion,high proportion,high proportion,high proportion
01304,Pont-d'Ain,82,01,206,33,10,21,13,65,23,35,Sud-Est,2602,17.39130434782609,24.242424242424246,13.071895424836603,14.159292035398241,2.857142857142864,high pay gap,medium pay gap,medium pay gap,low pay gap,11.052631578947368,34.21052631578947,12.105263157894736,18.421052631578945,17.36842105263158,6.842105263157896,low proportion,medium proportion,medium proportion,high proportion,medium proportion,high proportion
01305,Pont-de-Vaux,82,01,245,42,26,26,15,98,20,16,Sud-Est,2068,7.317073170731709,20.85106382978723,13.10344827586207,9.345794392523366,-6.7961165048543615,high pay gap,medium pay gap,medium pay gap,negative pay gap,11.981566820276496,45.16129032258064,9.216589861751153,7.373271889400922,19.35483870967742,6.912442396313365,low proportion,high proportion,high proportion,medium proportion,low proportion,high proportion
01313,Prévessin-Moëns,82,01,203,38,18,55,5,47,22,12,Sud-Est,7602,12.499999999999991,26.66666666666667,16.551724137931036,23.966942148760335,5.405405405405403,high pay gap,medium pay gap,high pay gap,low pay gap,30.726256983240223,26.256983240223462,12.290502793296088,6.70391061452514,21.22905027932961,2.793296089385475,high proportion,low proportion,high proportion,high proportion,low proportion,low proportion
01320,Replonges,82,01,191,16,16,27,14,65,10,36,Sud-Est,3515,19.863013698630137,17.72151898734177,14.379084967320269,3.603603603603607,13.821138211382122,high pay gap,medium pay gap,low pay gap,medium pay gap,16.071428571428573,38.69047619047619,5.952380952380952,21.428571428571427,9.523809523809524,8.333333333333332,medium proportion,high proportion,low proportion,low proportion,high proportion,high proportion
01322,Reyrieux,82,01,305,44,18,51,26,69,25,54,Sud-Est,4209,29.2079207920792,22.07357859531772,25.806451612903224,21.774193548387107,14.179104477611942,high pay gap,high pay gap,high pay gap,medium pay gap,18.95910780669145,25.650557620817843,9.293680297397769,20.074349442379184,16.356877323420075,9.66542750929368,high proportion,low proportion,medium proportion,medium proportion,medium proportion,high proportion
01333,Saint-André-de-Corcy,82,01,244,39,19,37,21,59,32,32,Sud-Est,2880,20.12195121951219,13.14741035856574,12.578616352201259,15.573770491803268,13.492063492063485,medium pay gap,medium pay gap,medium pay gap,medium pay gap,16.818181818181817,26.81818181818182,14.545454545454545,14.545454545454545,17.727272727272727,9.545454545454547,medium proportion,low proportion,high proportion,high proportion,medium proportion,high proportion
01344,Saint-Denis-lès-Bourg,82,01,295,53,21,60,14,72,19,47,Sud-Est,5515,17.88079470198675,9.282700421940927,11.111111111111118,16.94915254237288,13.223140495867765,medium pay gap,medium pay gap,medium pay gap,medium pay gap,22.641509433962266,27.169811320754718,7.169811320754717,17.735849056603772,20.0,5.283018867924529,high proportion,low proportion,high proportion,low proportion,medium proportion,medium proportion
01345,Saint-Denis-en-Bugey,82,01,89,14,12,12,2,27,1,19,Sud-Est,2196,20.689655172413794,24.015748031496056,17.610062893081764,16.666666666666664,10.344827586206891,high pay gap,high pay gap,medium pay gap,medium pay gap,16.0,36.0,1.3333333333333335,25.333333333333336,18.666666666666668,2.666666666666667,medium proportion,medium proportion,high proportion,low proportion,high proportion,low proportion
01348,Saint-Didier-sur-Chalaronne,82,01,174,17,16,21,16,60,12,27,Sud-Est,2745,20.422535211267597,8.661417322834643,20.370370370370363,14.655172413793096,13.675213675213675,low pay gap,high pay gap,medium pay gap,medium pay gap,13.725490196078432,39.21568627450981,7.8431372549019605,17.647058823529413,11.11111111111111,10.457516339869281,low proportion,high proportion,low proportion,low proportion,medium proportion,high proportion
01354,Saint-Genis-Pouilly,82,01,543,74,47,102,30,161,47,74,Sud-Est,9677,10.000000000000005,7.661290322580654,5.925925925925931,17.24137931034483,-2.9702970297029774,low pay gap,low pay gap,high pay gap,negative pay gap,20.901639344262296,32.99180327868852,9.631147540983607,15.163934426229508,15.163934426229508,6.147540983606557,high proportion,medium proportion,medium proportion,medium proportion,medium proportion,medium proportion
01376,Saint-Maurice-de-Beynost,82,01,207,38,12,30,17,60,15,25,Sud-Est,3866,19.04761904761904,17.063492063492067,14.74358974358974,19.32773109243698,3.63636363636364,medium pay gap,medium pay gap,high pay gap,low pay gap,16.216216216216218,32.432432432432435,8.108108108108109,13.513513513513514,20.54054054054054,9.18918918918919,medium proportion,medium proportion,high proportion,low proportion,low proportion,high proportion
01378,Saint-Maurice-de-Gourdans,82,01,109,16,5,17,6,26,6,29,Sud-Est,2349,17.751479289940818,19.2156862745098,14.723926380368098,20.161290322580644,18.70503597122302,high pay gap,medium pay gap,high pay gap,high pay gap,17.0,26.0,6.0,28.999999999999996,16.0,6.0,medium proportion,low proportion,medium proportion,low proportion,high proportion,medium proportion
01384,Saint-Rambert-en-Bugey,82,01,134,21,11,10,8,43,7,30,Sud-Est,2159,9.917355371900822,-5.208333333333334,20.394736842105264,8.256880733944957,1.9801980198019733,negative pay gap,high pay gap,low pay gap,low pay gap,8.403361344537815,36.134453781512605,5.88235294117647,25.210084033613445,17.647058823529413,6.722689075630252,low proportion,medium proportion,high proportion,low proportion,high proportion,high proportion
01419,Thoiry,82,01,287,26,31,39,9,127,27,23,Sud-Est,6028,25.490196078431378,37.45819397993311,27.64705882352941,20.000000000000007,-1.980198019801991,high pay gap,high pay gap,high pay gap,negative pay gap,15.53784860557769,50.59760956175299,10.756972111553784,9.163346613545817,10.358565737051793,3.5856573705179287,medium proportion,high proportion,low proportion,high proportion,low proportion,low proportion
01427,Trévoux,82,01,510,80,34,86,50,121,56,73,Sud-Est,6627,21.019108280254773,19.402985074626862,18.292682926829258,15.04424778761063,16.129032258064516,high pay gap,high pay gap,medium pay gap,medium pay gap,18.4549356223176,25.9656652360515,12.017167381974248,15.665236051502147,17.167381974248926,10.72961373390558,medium proportion,low proportion,medium proportion,high proportion,medium proportion,high proportion
01435,Versonnex,82,01,55,4,9,18,2,12,2,7,Sud-Est,2184,11.347517730496453,-9.049773755656108,29.787234042553195,16.379310344827587,-2.9702970297029774,negative pay gap,high pay gap,medium pay gap,negative pay gap,40.0,26.666666666666668,4.444444444444445,15.555555555555555,8.88888888888889,4.444444444444445,high proportion,low proportion,low proportion,low proportion,medium proportion,medium proportion
01443,Villars-les-Dombes,82,01,307,54,28,60,12,85,25,31,Sud-Est,4185,18.055555555555554,14.529914529914526,14.83870967741936,16.513761467889914,13.4453781512605,medium pay gap,medium pay gap,medium pay gap,medium pay gap,22.47191011235955,31.835205992509362,9.363295880149813,11.610486891385769,20.224719101123593,4.49438202247191,high proportion,medium proportion,high proportion,medium proportion,low proportion,medium proportion
01450,Villieu-Loyes-Mollon,82,01,184,26,10,39,14,39,9,46,Sud-Est,3322,22.61904761904762,18.773946360153264,18.181818181818183,20.634920634920633,7.563025210084036,high pay gap,high pay gap,high pay gap,low pay gap,22.54335260115607,22.54335260115607,5.202312138728324,26.589595375722542,15.028901734104046,8.092485549132949,high proportion,low proportion,medium proportion,low proportion,high proportion,high proportion
01451,Viriat,82,01,503,68,28,100,37,164,35,59,Sud-Est,6003,16.08391608391609,27.41312741312741,8.783783783783788,14.782608695652169,13.821138211382122,high pay gap,medium pay gap,medium pay gap,medium pay gap,21.598272138228943,35.42116630669546,7.559395248380129,12.742980561555076,14.686825053995682,7.991360691144708,high proportion,medium proportion,medium proportion,low proportion,low proportion,high proportion
01457,Vonnas,82,01,201,29,18,25,11,54,20,38,Sud-Est,2788,11.538461538461538,-5.617977528089887,9.28571428571429,10.909090909090903,10.091743119266052,negative pay gap,medium pay gap,medium pay gap,medium pay gap,14.124293785310735,30.508474576271187,11.299435028248588,21.468926553672315,16.38418079096045,6.214689265536723,low proportion,medium proportion,medium proportion,high proportion,high proportion,medium proportion
02028,Athies-sous-Laon,22,02,85,14,10,8,1,24,7,18,Nord-Ouest,2617,11.538461538461538,13.761467889908257,16.88311688311688,18.918918918918916,-5.05050505050505,medium pay gap,medium pay gap,high pay gap,negative pay gap,11.11111111111111,33.33333333333333,9.722222222222223,25.0,19.444444444444446,1.3888888888888888,low proportion,medium proportion,high proportion,medium proportion,high proportion,low proportion
02059,Beautor,22,02,75,11,9,2,8,27,3,11,Nord-Ouest,2635,15.573770491803268,8.372093023255816,24.836601307189547,14.414414414414411,8.411214953271015,low pay gap,high pay gap,medium pay gap,low pay gap,3.225806451612903,43.54838709677419,4.838709677419355,17.741935483870968,17.741935483870968,12.903225806451612,low proportion,high proportion,high proportion,low proportion,medium proportion,high proportion
02064,Belleu,22,02,89,12,11,7,3,33,2,18,Nord-Ouest,3544,12.799999999999997,19.469026548672574,9.655172413793107,15.454545454545448,5.714285714285711,high pay gap,medium pay gap,medium pay gap,low pay gap,9.333333333333334,44.0,2.666666666666667,24.0,16.0,4.0,low proportion,high proportion,medium proportion,low proportion,high proportion,low proportion
